seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
2024,3,val,122,1.0283,0.6967,0.3632,0.8229,0.2667,0.0
2024,3,in_domain,123,1.0283,0.7967,0.4383,0.8824,0.4324,0.0
2024,3,laptop,2313,1.0283,0.6044,0.4459,0.6921,0.6458,0.0
2024,3,restaurant,3602,1.0283,0.6355,0.4158,0.7706,0.4767,0.0
2024,4,val,122,0.8035,0.7869,0.4494,0.8867,0.4615,0.0
2024,4,in_domain,123,0.8035,0.8618,0.6702,0.9261,0.64,0.4444
2024,4,laptop,2313,0.8035,0.7038,0.6517,0.7823,0.7696,0.4031
2024,4,restaurant,3602,0.8035,0.6816,0.6043,0.8179,0.6043,0.3906
2024,5,val,122,0.5843,0.6885,0.4891,0.8108,0.4,0.2564
2024,5,in_domain,123,0.5843,0.6992,0.5686,0.8108,0.7,0.1951
2024,5,laptop,2313,0.5843,0.6693,0.6552,0.7226,0.7683,0.4747
2024,5,restaurant,3602,0.5843,0.563,0.5523,0.6713,0.5923,0.3932
2024,6,val,122,0.4177,0.8197,0.4022,0.9065,0.3,0.0
2024,6,in_domain,123,0.4177,0.8943,0.6379,0.9488,0.6316,0.3333
2024,6,laptop,2313,0.4177,0.7419,0.6741,0.8164,0.7909,0.4151
2024,6,restaurant,3602,0.4177,0.7235,0.6294,0.8384,0.665,0.3847
2024,7,val,122,0.3529,0.7951,0.4732,0.8922,0.3846,0.1429
2024,7,in_domain,123,0.3529,0.8537,0.613,0.9223,0.6667,0.25
2024,7,laptop,2313,0.3529,0.7216,0.6649,0.7964,0.785,0.4132
2024,7,restaurant,3602,0.3529,0.6996,0.6308,0.8156,0.6741,0.4028
2024,8,val,122,0.2506,0.8279,0.4039,0.9116,0.3,0.0
2024,8,in_domain,123,0.2506,0.9106,0.6883,0.9537,0.6667,0.4444
2024,8,laptop,2313,0.2506,0.7497,0.6706,0.8295,0.7938,0.3883
2024,8,restaurant,3602,0.2506,0.7393,0.634,0.8534,0.6719,0.3768
2024,9,val,122,0.1711,0.8361,0.4108,0.9167,0.3158,0.0
2024,9,in_domain,123,0.1711,0.9024,0.6816,0.9444,0.7368,0.3636
2024,9,laptop,2313,0.1711,0.7415,0.6851,0.8223,0.785,0.4479
2024,9,restaurant,3602,0.1711,0.7274,0.6315,0.8463,0.637,0.4112
2024,10,val,122,0.1928,0.8443,0.4125,0.9217,0.3158,0.0
2024,10,in_domain,123,0.1928,0.9187,0.7118,0.9541,0.7368,0.4444
2024,10,laptop,2313,0.1928,0.7441,0.6744,0.8262,0.7835,0.4135
2024,10,restaurant,3602,0.1928,0.7376,0.6289,0.8538,0.6414,0.3914
123,1,val,122,1.1436,0.1066,0.0736,0.1217,0.0,0.0992
123,1,in_domain,123,1.1436,0.1138,0.0793,0.1538,0.0,0.084
123,1,laptop,2313,1.1436,0.1984,0.1105,0.0,0.0,0.3315
123,1,restaurant,3602,1.1436,0.1757,0.0996,0.0,0.0,0.2989
123,2,val,122,1.0766,0.877,0.3115,0.9345,0.0,0.0
123,2,in_domain,123,1.0766,0.878,0.3117,0.9351,0.0,0.0
123,2,laptop,2313,1.0766,0.4328,0.2124,0.6012,0.036,0.0
123,2,restaurant,3602,1.0766,0.6008,0.2502,0.7506,0.0,0.0
123,3,val,122,0.9066,0.6967,0.4335,0.8333,0.3529,0.1143
123,3,in_domain,123,0.9066,0.8049,0.5804,0.8911,0.6,0.25
123,3,laptop,2313,0.9066,0.6498,0.6343,0.7171,0.7503,0.4353
123,3,restaurant,3602,0.9066,0.6871,0.5534,0.8298,0.5355,0.2949
123,4,val,122,0.6446,0.8443,0.4125,0.9217,0.3158,0.0
123,4,in_domain,123,0.6446,0.9187,0.6443,0.9633,0.6364,0.3333
123,4,laptop,2313,0.6446,0.7276,0.6378,0.8057,0.7804,0.3273
123,4,restaurant,3602,0.6446,0.7196,0.5296,0.8337,0.6327,0.1226
123,5,val,122,0.3727,0.8525,0.42,0.9266,0.3333,0.0
123,5,in_domain,123,0.3727,0.9268,0.7325,0.9593,0.6667,0.5714
123,5,laptop,2313,0.3727,0.7324,0.6583,0.8105,0.7862,0.3782
123,5,restaurant,3602,0.3727,0.731,0.582,0.8438,0.6493,0.253
123,6,val,122,0.3109,0.8443,0.4125,0.9217,0.3158,0.0
123,6,in_domain,123,0.3109,0.9106,0.6269,0.9585,0.6364,0.2857
123,6,laptop,2313,0.3109,0.7345,0.6505,0.8111,0.792,0.3485
123,6,restaurant,3602,0.3109,0.7426,0.6088,0.8522,0.6998,0.2746
123,7,val,122,0.2735,0.8115,0.4116,0.9014,0.3333,0.0
123,7,in_domain,123,0.2735,0.8943,0.6905,0.9434,0.6667,0.4615
123,7,laptop,2313,0.2735,0.7125,0.6773,0.7692,0.8011,0.4615
123,7,restaurant,3602,0.2735,0.7113,0.6258,0.8324,0.6676,0.3776
123,8,val,122,0.2329,0.8525,0.42,0.9266,0.3333,0.0
123,8,in_domain,123,0.2329,0.8943,0.6572,0.9401,0.6316,0.4
123,8,laptop,2313,0.2329,0.7298,0.6838,0.8072,0.7922,0.4518
123,8,restaurant,3602,0.2329,0.7282,0.6163,0.8479,0.6538,0.3472
123,9,val,122,0.2257,0.8525,0.42,0.9266,0.3333,0.0
123,9,in_domain,123,0.2257,0.9187,0.7084,0.9585,0.6667,0.5
123,9,laptop,2313,0.2257,0.7367,0.6828,0.8154,0.7921,0.4408
123,9,restaurant,3602,0.2257,0.7329,0.61,0.8495,0.6626,0.3179
123,10,val,122,0.1096,0.8525,0.42,0.9266,0.3333,0.0
