model,domain,status,n_examples,seed,accuracy,precision,recall,macro_f1,positive_f1,negative_f1,neutral_f1
Extended BERT ABSA,in_domain,ok,123,2023,0.9268,,,0.7088,0.9596,0.6667,0.5
Extended BERT ABSA,laptop,ok,2313,2023,0.6982,,,0.564,0.793,0.7524,0.1464
Extended BERT ABSA,restaurant,ok,3602,2023,0.7091,,,0.5875,0.8363,0.5836,0.3427
RoBERTa ABSA,val,ok,122,2023,0.8361,,,0.4246,0.9209,0.3529,0.0
RoBERTa ABSA,in_domain,ok,123,2023,0.8862,,,0.638,0.9395,0.6667,0.3077
RoBERTa ABSA,laptop,ok,2313,2023,0.7354,,,0.6929,0.8209,0.7689,0.4888
RoBERTa ABSA,restaurant,ok,3602,2023,0.7407,,,0.6341,0.8558,0.6556,0.391
Extended BERT ABSA,val,ok,122,4096,0.8525,,,0.398,0.9273,0.2667,0.0
Extended BERT ABSA,in_domain,ok,123,4096,0.9106,,,0.5821,0.9515,0.4615,0.3333
Extended BERT ABSA,laptop,ok,2313,4096,0.6814,,,0.5426,0.7885,0.7144,0.1248
Extended BERT ABSA,restaurant,ok,3602,4096,0.6688,,,0.4553,0.8087,0.5154,0.042
RoBERTa ABSA,val,ok,122,4096,0.8689,,,0.4357,0.9321,0.375,0.0
RoBERTa ABSA,in_domain,ok,123,4096,0.9024,,,0.6207,0.9455,0.6667,0.25
RoBERTa ABSA,laptop,ok,2313,4096,0.7216,,,0.6604,0.8065,0.7608,0.4139
RoBERTa ABSA,restaurant,ok,3602,4096,0.7285,,,0.608,0.8459,0.6056,0.3726
