model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
RoBERTa ABSA,1,1,in_domain,123,1.1101,0.7886,0.2939,0.8818,0.0,0.0
RoBERTa ABSA,1,1,laptop,2313,1.1101,0.4133,0.224,0.5874,0.0,0.0847
RoBERTa ABSA,1,1,restaurant,3602,1.1101,0.5805,0.2626,0.7357,0.0,0.052
RoBERTa ABSA,1,2,val,122,1.1269,0.7951,0.4281,0.8955,0.3889,0.0
RoBERTa ABSA,1,2,in_domain,123,1.1269,0.8455,0.4585,0.9238,0.4516,0.0
RoBERTa ABSA,1,2,laptop,2313,1.1269,0.674,0.4983,0.7663,0.7286,0.0
RoBERTa ABSA,1,2,restaurant,3602,1.1269,0.6952,0.4622,0.8121,0.5745,0.0
RoBERTa ABSA,1,3,val,122,0.7616,0.8197,0.425,0.9048,0.3704,0.0
RoBERTa ABSA,1,3,in_domain,123,0.7616,0.8943,0.4984,0.9498,0.5455,0.0
RoBERTa ABSA,1,3,laptop,2313,0.7616,0.709,0.5974,0.7886,0.7618,0.2419
RoBERTa ABSA,1,3,restaurant,3602,0.7616,0.7029,0.505,0.8216,0.5849,0.1086
RoBERTa ABSA,1,4,val,122,0.5744,0.8279,0.4147,0.9108,0.3333,0.0
RoBERTa ABSA,1,4,in_domain,123,0.5744,0.9106,0.6212,0.9589,0.5714,0.3333
RoBERTa ABSA,1,4,laptop,2313,0.5744,0.725,0.5964,0.8102,0.7767,0.2022
RoBERTa ABSA,1,4,restaurant,3602,0.5744,0.7207,0.5335,0.835,0.6322,0.1335
RoBERTa ABSA,1,5,val,122,0.3454,0.8197,0.4574,0.9057,0.3,0.1667
RoBERTa ABSA,1,5,in_domain,123,0.3454,0.878,0.6104,0.9352,0.5882,0.3077
RoBERTa ABSA,1,5,laptop,2313,0.3454,0.7142,0.6579,0.7952,0.7667,0.4118
RoBERTa ABSA,1,5,restaurant,3602,0.3454,0.7104,0.5869,0.8364,0.5756,0.3488
Standard BERT ABSA,7,1,val,122,1.0645,0.3115,0.2485,0.4118,0.2286,0.1053
Standard BERT ABSA,7,1,in_domain,123,1.0645,0.4065,0.3423,0.5068,0.36,0.16
Standard BERT ABSA,7,1,laptop,2313,1.0645,0.4068,0.2414,0.17,0.5543,0.0
Standard BERT ABSA,7,1,restaurant,3602,1.0645,0.352,0.2593,0.4057,0.3692,0.0031
Standard BERT ABSA,7,2,val,122,0.9137,0.5656,0.339,0.7093,0.3077,0.0
Standard BERT ABSA,7,2,in_domain,123,0.9137,0.7154,0.4998,0.8168,0.5161,0.1667
Standard BERT ABSA,7,2,laptop,2313,0.9137,0.4669,0.3206,0.3815,0.5804,0.0
Standard BERT ABSA,7,2,restaurant,3602,0.9137,0.4645,0.3342,0.5903,0.4092,0.0031
Standard BERT ABSA,7,3,val,122,0.6149,0.7131,0.4165,0.8377,0.4118,0.0
Standard BERT ABSA,7,3,in_domain,123,0.6149,0.8293,0.6423,0.8966,0.6667,0.3636
Standard BERT ABSA,7,3,laptop,2313,0.6149,0.5586,0.4171,0.6139,0.6246,0.0127
Standard BERT ABSA,7,3,restaurant,3602,0.6149,0.5761,0.3951,0.7294,0.4496,0.0062
Standard BERT ABSA,7,4,val,122,0.4129,0.8607,0.4506,0.9309,0.4211,0.0
Standard BERT ABSA,7,4,in_domain,123,0.4129,0.9024,0.5622,0.9498,0.7368,0.0
Standard BERT ABSA,7,4,laptop,2313,0.4129,0.6334,0.475,0.7446,0.6718,0.0086
Standard BERT ABSA,7,4,restaurant,3602,0.4129,0.6294,0.4163,0.7745,0.468,0.0063
Standard BERT ABSA,7,5,val,122,0.2725,0.8689,0.4872,0.9352,0.5263,0.0
Standard BERT ABSA,7,5,in_domain,123,0.2725,0.9106,0.6969,0.9493,0.7778,0.3636
Standard BERT ABSA,7,5,laptop,2313,0.2725,0.6325,0.4775,0.7436,0.672,0.0169
Standard BERT ABSA,7,5,restaurant,3602,0.2725,0.6319,0.4209,0.7781,0.4754,0.0093
Extended BERT ABSA,7,1,val,122,1.0746,0.5246,0.3011,0.6747,0.2286,0.0
Extended BERT ABSA,7,1,in_domain,123,1.0746,0.7886,0.4457,0.8756,0.4615,0.0
Extended BERT ABSA,7,1,laptop,2313,1.0746,0.4129,0.2513,0.1979,0.5559,0.0
Extended BERT ABSA,7,1,restaurant,3602,1.0746,0.3182,0.2288,0.3053,0.3813,0.0
Extended BERT ABSA,7,2,val,122,0.9377,0.7541,0.3934,0.8643,0.3158,0.0
Extended BERT ABSA,7,2,in_domain,123,0.9377,0.8699,0.5059,0.9252,0.5926,0.0
Extended BERT ABSA,7,2,laptop,2313,0.9377,0.5486,0.4058,0.5922,0.621,0.0043
Extended BERT ABSA,7,2,restaurant,3602,0.9377,0.6446,0.4346,0.775,0.5227,0.0062
Extended BERT ABSA,7,3,val,122,0.7123,0.7787,0.4114,0.8812,0.3529,0.0
Extended BERT ABSA,7,3,in_domain,123,0.7123,0.9106,0.6594,0.9493,0.6957,0.3333
Extended BERT ABSA,7,3,laptop,2313,0.7123,0.6144,0.4674,0.6928,0.6718,0.0376
Extended BERT ABSA,7,3,restaurant,3602,0.7123,0.678,0.4712,0.805,0.5702,0.0383
Extended BERT ABSA,7,4,val,122,0.4831,0.8279,0.4526,0.9135,0.4444,0.0
Extended BERT ABSA,7,4,in_domain,123,0.4831,0.8699,0.6425,0.9238,0.64,0.3636
Extended BERT ABSA,7,4,laptop,2313,0.4831,0.6511,0.559,0.7263,0.7049,0.246
Extended BERT ABSA,7,4,restaurant,3602,0.4831,0.6688,0.5169,0.7966,0.5952,0.159
Extended BERT ABSA,7,5,val,122,0.3459,0.8525,0.442,0.9259,0.4,0.0
Extended BERT ABSA,7,5,in_domain,123,0.3459,0.9187,0.72,0.9537,0.7619,0.4444
Extended BERT ABSA,7,5,laptop,2313,0.3459,0.6701,0.5623,0.7521,0.7193,0.2154
Extended BERT ABSA,7,5,restaurant,3602,0.3459,0.6852,0.4968,0.8057,0.5716,0.1133
RoBERTa ABSA,7,1,val,122,1.1212,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,7,1,in_domain,123,1.1212,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,7,1,laptop,2313,1.1212,0.4267,0.1994,0.5982,0.0,0.0
RoBERTa ABSA,7,1,restaurant,3602,1.1212,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,7,2,val,122,0.9797,0.8689,0.3703,0.9292,0.1818,0.0
RoBERTa ABSA,7,2,in_domain,123,0.9797,0.9024,0.4934,0.9469,0.5333,0.0
RoBERTa ABSA,7,2,laptop,2313,0.9797,0.6425,0.4742,0.7198,0.7027,0.0
RoBERTa ABSA,7,2,restaurant,3602,0.9797,0.6816,0.44,0.7996,0.5172,0.0032
RoBERTa ABSA,7,3,val,122,0.6375,0.8279,0.4422,0.91,0.4167,0.0
RoBERTa ABSA,7,3,in_domain,123,0.6375,0.8862,0.5093,0.9444,0.5833,0.0
RoBERTa ABSA,7,3,laptop,2313,0.6375,0.7514,0.6831,0.8206,0.806,0.4228
RoBERTa ABSA,7,3,restaurant,3602,0.6375,0.7474,0.6279,0.8578,0.6872,0.3387
RoBERTa ABSA,7,4,val,122,0.6646,0.8607,0.3637,0.9244,0.1667,0.0
RoBERTa ABSA,7,4,in_domain,123,0.6646,0.8943,0.4571,0.9427,0.4286,0.0
RoBERTa ABSA,7,4,laptop,2313,0.6646,0.6866,0.586,0.7689,0.7359,0.2531
RoBERTa ABSA,7,4,restaurant,3602,0.6646,0.7146,0.5333,0.8262,0.6071,0.1667
RoBERTa ABSA,7,5,val,122,0.5607,0.8525,0.442,0.9259,0.4,0.0
RoBERTa ABSA,7,5,in_domain,123,0.5607,0.9024,0.5209,0.9541,0.6087,0.0
RoBERTa ABSA,7,5,laptop,2313,0.5607,0.7484,0.6868,0.8151,0.7986,0.4468
RoBERTa ABSA,7,5,restaurant,3602,0.5607,0.7449,0.6133,0.8576,0.6684,0.3138
Standard BERT ABSA,2024,1,val,122,1.1183,0.8033,0.3771,0.9005,0.2308,0.0
Standard BERT ABSA,2024,1,in_domain,123,1.1183,0.878,0.4923,0.9315,0.5455,0.0
Standard BERT ABSA,2024,1,laptop,2313,1.1183,0.5452,0.404,0.6129,0.599,0.0
Standard BERT ABSA,2024,1,restaurant,3602,1.1183,0.5464,0.3494,0.7012,0.347,0.0
Standard BERT ABSA,2024,2,val,122,0.8024,0.8689,0.4784,0.9352,0.5,0.0
Standard BERT ABSA,2024,2,in_domain,123,0.8024,0.8943,0.6615,0.9401,0.6,0.4444
Standard BERT ABSA,2024,2,laptop,2313,0.8024,0.6265,0.4645,0.7192,0.6743,0.0
Standard BERT ABSA,2024,2,restaurant,3602,0.8024,0.6366,0.4047,0.7812,0.4328,0.0
Standard BERT ABSA,2024,3,val,122,0.5253,0.8115,0.4497,0.8976,0.4516,0.0
Standard BERT ABSA,2024,3,in_domain,123,0.5253,0.8537,0.5741,0.9268,0.5455,0.25
Standard BERT ABSA,2024,3,laptop,2313,0.5253,0.6468,0.4957,0.7408,0.6962,0.0502
Standard BERT ABSA,2024,3,restaurant,3602,0.5253,0.6707,0.4662,0.8117,0.5747,0.0124
Standard BERT ABSA,2024,4,val,122,0.3479,0.8525,0.4751,0.9252,0.5,0.0
Standard BERT ABSA,2024,4,in_domain,123,0.3479,0.9106,0.6767,0.9541,0.6316,0.4444
Standard BERT ABSA,2024,4,laptop,2313,0.3479,0.6827,0.5385,0.7786,0.7318,0.1053
Standard BERT ABSA,2024,4,restaurant,3602,0.3479,0.6832,0.4638,0.8195,0.5482,0.0236
Standard BERT ABSA,2024,5,val,122,0.2343,0.8525,0.42,0.9266,0.3333,0.0
Standard BERT ABSA,2024,5,in_domain,123,0.2343,0.8943,0.5837,0.9455,0.5556,0.25
