model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Standard BERT ABSA,10,2,in_domain,123,0.8373,0.9187,0.5722,0.9545,0.7619,0.0
Standard BERT ABSA,10,2,laptop,2313,0.8373,0.5966,0.4438,0.6909,0.6405,0.0
Standard BERT ABSA,10,2,restaurant,3602,0.8373,0.628,0.4122,0.775,0.4617,0.0
Standard BERT ABSA,10,3,val,122,0.5854,0.8361,0.4514,0.9194,0.4348,0.0
Standard BERT ABSA,10,3,in_domain,123,0.5854,0.9106,0.6969,0.9493,0.7778,0.3636
Standard BERT ABSA,10,3,laptop,2313,0.5854,0.6507,0.4853,0.7599,0.6916,0.0043
Standard BERT ABSA,10,3,restaurant,3602,0.5854,0.6735,0.4571,0.8082,0.542,0.0212
Standard BERT ABSA,10,4,val,122,0.3667,0.8197,0.4531,0.9048,0.4545,0.0
Standard BERT ABSA,10,4,in_domain,123,0.3667,0.8862,0.6956,0.934,0.7778,0.375
Standard BERT ABSA,10,4,laptop,2313,0.3667,0.6563,0.5004,0.7685,0.6948,0.0378
Standard BERT ABSA,10,4,restaurant,3602,0.3667,0.6846,0.4821,0.8219,0.5717,0.0527
Standard BERT ABSA,10,5,val,122,0.2362,0.8279,0.4369,0.9108,0.4,0.0
Standard BERT ABSA,10,5,in_domain,123,0.2362,0.9106,0.7021,0.9493,0.8235,0.3333
Standard BERT ABSA,10,5,laptop,2313,0.2362,0.6628,0.4958,0.7702,0.7044,0.0129
Standard BERT ABSA,10,5,restaurant,3602,0.2362,0.6857,0.4716,0.8158,0.5603,0.0386
Extended BERT ABSA,10,1,val,122,1.1206,0.7623,0.4015,0.8713,0.3333,0.0
Extended BERT ABSA,10,1,in_domain,123,1.1206,0.8699,0.5728,0.9266,0.625,0.1667
Extended BERT ABSA,10,1,laptop,2313,1.1206,0.4808,0.3343,0.6009,0.402,0.0
Extended BERT ABSA,10,1,restaurant,3602,1.1206,0.5752,0.3915,0.7235,0.4245,0.0265
Extended BERT ABSA,10,2,val,122,0.8382,0.6066,0.3628,0.7514,0.25,0.087
Extended BERT ABSA,10,2,in_domain,123,0.8382,0.7642,0.5502,0.8543,0.6364,0.16
Extended BERT ABSA,10,2,laptop,2313,0.8382,0.5149,0.396,0.6255,0.4715,0.0909
Extended BERT ABSA,10,2,restaurant,3602,0.8382,0.5986,0.4339,0.7487,0.4561,0.0969
Extended BERT ABSA,10,3,val,122,0.5984,0.7787,0.4091,0.8824,0.3448,0.0
Extended BERT ABSA,10,3,in_domain,123,0.5984,0.8699,0.5321,0.9296,0.6667,0.0
Extended BERT ABSA,10,3,laptop,2313,0.5984,0.5897,0.4945,0.6964,0.5931,0.1941
Extended BERT ABSA,10,3,restaurant,3602,0.5984,0.6394,0.4767,0.7857,0.5178,0.1267
Extended BERT ABSA,10,4,val,122,0.3672,0.8115,0.4113,0.9005,0.3333,0.0
Extended BERT ABSA,10,4,in_domain,123,0.3672,0.8943,0.5372,0.945,0.6667,0.0
Extended BERT ABSA,10,4,laptop,2313,0.3672,0.6226,0.5171,0.7301,0.6465,0.1748
Extended BERT ABSA,10,4,restaurant,3602,0.3672,0.6718,0.4897,0.8113,0.5373,0.1206
Extended BERT ABSA,10,5,val,122,0.2854,0.8279,0.4039,0.9116,0.3,0.0
Extended BERT ABSA,10,5,in_domain,123,0.2854,0.8943,0.5114,0.9459,0.5882,0.0
Extended BERT ABSA,10,5,laptop,2313,0.2854,0.6169,0.5129,0.727,0.634,0.1777
Extended BERT ABSA,10,5,restaurant,3602,0.2854,0.6743,0.4905,0.8126,0.5313,0.1277
RoBERTa ABSA,10,1,val,122,1.0647,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,10,1,in_domain,123,1.0647,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,10,1,laptop,2313,1.0647,0.4267,0.1994,0.5982,0.0,0.0
RoBERTa ABSA,10,1,restaurant,3602,1.0647,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,10,2,val,122,1.1761,0.7787,0.408,0.8812,0.3429,0.0
RoBERTa ABSA,10,2,in_domain,123,1.1761,0.7967,0.4338,0.8911,0.4103,0.0
RoBERTa ABSA,10,2,laptop,2313,1.1761,0.6757,0.4999,0.7645,0.7352,0.0
RoBERTa ABSA,10,2,restaurant,3602,1.1761,0.656,0.3918,0.785,0.3905,0.0
RoBERTa ABSA,10,3,val,122,0.8121,0.8361,0.4384,0.9151,0.4,0.0
RoBERTa ABSA,10,3,in_domain,123,0.8121,0.9024,0.5021,0.9507,0.5556,0.0
RoBERTa ABSA,10,3,laptop,2313,0.8121,0.6961,0.5771,0.7852,0.7514,0.1946
RoBERTa ABSA,10,3,restaurant,3602,0.8121,0.6796,0.4657,0.8043,0.4685,0.1243
RoBERTa ABSA,10,4,val,122,0.636,0.8443,0.4282,0.9209,0.3636,0.0
RoBERTa ABSA,10,4,in_domain,123,0.636,0.9106,0.5145,0.9554,0.5882,0.0
RoBERTa ABSA,10,4,laptop,2313,0.636,0.7043,0.5733,0.7899,0.7665,0.1634
RoBERTa ABSA,10,4,restaurant,3602,0.636,0.6952,0.4861,0.8129,0.5512,0.0942
RoBERTa ABSA,10,5,val,122,0.3677,0.8279,0.4367,0.91,0.4,0.0
RoBERTa ABSA,10,5,in_domain,123,0.3677,0.8943,0.5858,0.9455,0.5263,0.2857
RoBERTa ABSA,10,5,laptop,2313,0.3677,0.7211,0.6256,0.8093,0.7689,0.2986
RoBERTa ABSA,10,5,restaurant,3602,0.3677,0.719,0.5597,0.8376,0.6246,0.2167
Standard BERT ABSA,50,1,val,122,1.1,0.7869,0.3834,0.8774,0.2727,0.0
Standard BERT ABSA,50,1,in_domain,123,1.1,0.8943,0.6155,0.9406,0.7059,0.2
Standard BERT ABSA,50,1,laptop,2313,1.1,0.4617,0.3135,0.5915,0.3404,0.0086
Standard BERT ABSA,50,1,restaurant,3602,1.1,0.6238,0.3738,0.763,0.3583,0.0
Standard BERT ABSA,50,2,val,122,0.8369,0.6803,0.3806,0.8085,0.3333,0.0
Standard BERT ABSA,50,2,in_domain,123,0.8369,0.8293,0.5932,0.8976,0.6154,0.2667
Standard BERT ABSA,50,2,laptop,2313,0.8369,0.5102,0.3727,0.6049,0.5132,0.0
Standard BERT ABSA,50,2,restaurant,3602,0.8369,0.6441,0.4218,0.7805,0.4817,0.0032
Standard BERT ABSA,50,3,val,122,0.5435,0.8689,0.4784,0.9352,0.5,0.0
Standard BERT ABSA,50,3,in_domain,123,0.5435,0.935,0.6825,0.9643,0.75,0.3333
Standard BERT ABSA,50,3,laptop,2313,0.5435,0.5776,0.4179,0.6763,0.5773,0.0
Standard BERT ABSA,50,3,restaurant,3602,0.5435,0.6527,0.3911,0.7851,0.3882,0.0
Standard BERT ABSA,50,4,val,122,0.4082,0.8197,0.4691,0.9073,0.5,0.0
Standard BERT ABSA,50,4,in_domain,123,0.4082,0.8699,0.686,0.9223,0.7826,0.3529
Standard BERT ABSA,50,4,laptop,2313,0.4082,0.6113,0.4668,0.6985,0.6494,0.0525
Standard BERT ABSA,50,4,restaurant,3602,0.4082,0.6755,0.4448,0.8016,0.5026,0.0302
Standard BERT ABSA,50,5,val,122,0.2443,0.8607,0.5003,0.9296,0.5714,0.0
Standard BERT ABSA,50,5,in_domain,123,0.2443,0.8862,0.666,0.9346,0.7778,0.2857
Standard BERT ABSA,50,5,laptop,2313,0.2443,0.5975,0.4556,0.6918,0.6165,0.0586
Standard BERT ABSA,50,5,restaurant,3602,0.2443,0.6607,0.4172,0.7912,0.4046,0.0559
Extended BERT ABSA,50,1,val,122,1.086,0.5574,0.3475,0.7093,0.25,0.0833
Extended BERT ABSA,50,1,in_domain,123,1.086,0.6911,0.4872,0.8,0.5926,0.069
Extended BERT ABSA,50,1,laptop,2313,1.086,0.4963,0.3664,0.503,0.5796,0.0167
Extended BERT ABSA,50,1,restaurant,3602,1.086,0.5225,0.3532,0.6759,0.3409,0.0427
Extended BERT ABSA,50,2,val,122,0.8615,0.8279,0.3782,0.9124,0.2222,0.0
Extended BERT ABSA,50,2,in_domain,123,0.8615,0.8862,0.5823,0.9364,0.5882,0.2222
Extended BERT ABSA,50,2,laptop,2313,0.8615,0.5966,0.4399,0.6981,0.6216,0.0
Extended BERT ABSA,50,2,restaurant,3602,0.8615,0.6149,0.3127,0.7584,0.1765,0.0031
Extended BERT ABSA,50,3,val,122,0.6337,0.7377,0.4675,0.8482,0.4211,0.1333
Extended BERT ABSA,50,3,in_domain,123,0.6337,0.8374,0.6422,0.901,0.6923,0.3333
Extended BERT ABSA,50,3,laptop,2313,0.6337,0.5724,0.4263,0.6334,0.6369,0.0086
Extended BERT ABSA,50,3,restaurant,3602,0.6337,0.6471,0.448,0.7813,0.5244,0.0384
Extended BERT ABSA,50,4,val,122,0.3772,0.8607,0.4767,0.9302,0.5,0.0
Extended BERT ABSA,50,4,in_domain,123,0.3772,0.8943,0.6568,0.9401,0.6667,0.3636
Extended BERT ABSA,50,4,laptop,2313,0.3772,0.6425,0.4774,0.7479,0.6844,0.0
Extended BERT ABSA,50,4,restaurant,3602,0.3772,0.671,0.4452,0.7987,0.5183,0.0185
Extended BERT ABSA,50,5,val,122,0.2538,0.8607,0.4767,0.9302,0.5,0.0
Extended BERT ABSA,50,5,in_domain,123,0.2538,0.9024,0.6568,0.9455,0.625,0.4
Extended BERT ABSA,50,5,laptop,2313,0.2538,0.652,0.4876,0.7579,0.6919,0.0129
Extended BERT ABSA,50,5,restaurant,3602,0.2538,0.6666,0.4378,0.7959,0.4785,0.0391
RoBERTa ABSA,50,1,val,122,1.1157,0.2131,0.1436,0.288,0.1429,0.0
RoBERTa ABSA,50,1,in_domain,123,1.1157,0.2927,0.1917,0.3881,0.1869,0.0
RoBERTa ABSA,50,1,laptop,2313,1.1157,0.3978,0.2198,0.1022,0.5571,0.0
RoBERTa ABSA,50,1,restaurant,3602,1.1157,0.2887,0.1972,0.2088,0.3827,0.0
RoBERTa ABSA,50,2,val,122,0.9356,0.8443,0.4249,0.9217,0.3529,0.0
RoBERTa ABSA,50,2,in_domain,123,0.9356,0.9024,0.5273,0.9502,0.6316,0.0
RoBERTa ABSA,50,2,laptop,2313,0.9356,0.6697,0.5217,0.7516,0.7328,0.0808
RoBERTa ABSA,50,2,restaurant,3602,0.9356,0.6652,0.4181,0.7927,0.4204,0.0413
RoBERTa ABSA,50,3,val,122,0.628,0.8689,0.4298,0.9364,0.3529,0.0
RoBERTa ABSA,50,3,in_domain,123,0.628,0.9106,0.5288,0.955,0.6316,0.0
RoBERTa ABSA,50,3,laptop,2313,0.628,0.6775,0.5024,0.7472,0.7601,0.0
RoBERTa ABSA,50,3,restaurant,3602,0.628,0.6727,0.4224,0.7944,0.4729,0.0
RoBERTa ABSA,50,4,val,122,0.8267,0.8525,0.4265,0.9266,0.3529,0.0
RoBERTa ABSA,50,4,in_domain,123,0.8267,0.8943,0.5905,0.9493,0.6,0.2222
RoBERTa ABSA,50,4,laptop,2313,0.8267,0.7168,0.6593,0.8096,0.7599,0.4084
RoBERTa ABSA,50,4,restaurant,3602,0.8267,0.6954,0.5155,0.8277,0.5373,0.1816
RoBERTa ABSA,50,5,val,122,0.571,0.8689,0.4298,0.9364,0.3529,0.0
RoBERTa ABSA,50,5,in_domain,123,0.571,0.9024,0.5021,0.9507,0.5556,0.0
RoBERTa ABSA,50,5,laptop,2313,0.571,0.693,0.5639,0.7687,0.7533,0.1697
RoBERTa ABSA,50,5,restaurant,3602,0.571,0.6782,0.4395,0.7987,0.492,0.0276
Standard BERT ABSA,99,1,val,122,1.0717,0.2787,0.1817,0.3852,0.16,0.0
Standard BERT ABSA,99,1,in_domain,123,1.0717,0.3577,0.2922,0.4615,0.2151,0.2
Standard BERT ABSA,99,1,laptop,2313,1.0717,0.3839,0.2014,0.0564,0.5478,0.0
Standard BERT ABSA,99,1,restaurant,3602,1.0717,0.3329,0.2417,0.3349,0.3871,0.0031
Standard BERT ABSA,99,2,val,122,0.87,0.7459,0.41,0.8615,0.3684,0.0
Standard BERT ABSA,99,2,in_domain,123,0.87,0.9024,0.7187,0.9439,0.6667,0.5455
Standard BERT ABSA,99,2,laptop,2313,0.87,0.5581,0.4129,0.6428,0.5959,0.0
Standard BERT ABSA,99,2,restaurant,3602,0.87,0.6144,0.3009,0.7578,0.1448,0.0
Standard BERT ABSA,99,3,val,122,0.5816,0.7869,0.443,0.8844,0.4444,0.0
Standard BERT ABSA,99,3,in_domain,123,0.5816,0.878,0.6614,0.9282,0.6923,0.3636
Standard BERT ABSA,99,3,laptop,2313,0.5816,0.5984,0.4449,0.6874,0.6475,0.0
Standard BERT ABSA,99,3,restaurant,3602,0.5816,0.6738,0.4424,0.8023,0.5188,0.0062
Standard BERT ABSA,99,4,val,122,0.3367,0.877,0.5174,0.9434,0.6087,0.0
Standard BERT ABSA,99,4,in_domain,123,0.3367,0.9187,0.7118,0.9541,0.7368,0.4444
Standard BERT ABSA,99,4,laptop,2313,0.3367,0.6425,0.4772,0.7389,0.6884,0.0043
Standard BERT ABSA,99,4,restaurant,3602,0.3367,0.6716,0.4292,0.7962,0.482,0.0093
Standard BERT ABSA,99,5,val,122,0.2302,0.8607,0.5056,0.9333,0.5833,0.0
Standard BERT ABSA,99,5,in_domain,123,0.2302,0.8943,0.6699,0.9395,0.7368,0.3333
Standard BERT ABSA,99,5,laptop,2313,0.2302,0.6412,0.4768,0.7406,0.6856,0.0043
Standard BERT ABSA,99,5,restaurant,3602,0.2302,0.6824,0.4499,0.808,0.5262,0.0155
Extended BERT ABSA,99,1,val,122,1.0613,0.5574,0.392,0.7024,0.3684,0.1053
Extended BERT ABSA,99,1,in_domain,123,1.0613,0.5447,0.4307,0.6706,0.4615,0.16
Extended BERT ABSA,99,1,laptop,2313,1.0613,0.4855,0.4685,0.5938,0.4924,0.3194
Extended BERT ABSA,99,1,restaurant,3602,1.0613,0.5008,0.4161,0.651,0.3817,0.2155
Extended BERT ABSA,99,2,val,122,0.7916,0.6557,0.417,0.7956,0.3784,0.0769
Extended BERT ABSA,99,2,in_domain,123,0.7916,0.6667,0.5178,0.776,0.6154,0.1622
Extended BERT ABSA,99,2,laptop,2313,0.7916,0.5737,0.4489,0.6362,0.6372,0.0734
Extended BERT ABSA,99,2,restaurant,3602,0.7916,0.6252,0.4729,0.7728,0.5197,0.1263
Extended BERT ABSA,99,3,val,122,0.4929,0.8279,0.4369,0.9108,0.4,0.0
Extended BERT ABSA,99,3,in_domain,123,0.4929,0.9106,0.7203,0.9493,0.75,0.4615
Extended BERT ABSA,99,3,laptop,2313,0.4929,0.6654,0.5187,0.7649,0.7044,0.0868
Extended BERT ABSA,99,3,restaurant,3602,0.4929,0.686,0.4771,0.8115,0.5369,0.083
Extended BERT ABSA,99,4,val,122,0.3077,0.8443,0.4746,0.9238,0.5,0.0
Extended BERT ABSA,99,4,in_domain,123,0.3077,0.9268,0.7211,0.9633,0.7,0.5
Extended BERT ABSA,99,4,laptop,2313,0.3077,0.674,0.5337,0.7851,0.7056,0.1105
Extended BERT ABSA,99,4,restaurant,3602,0.3077,0.7041,0.5025,0.8304,0.5994,0.0777
Extended BERT ABSA,99,5,val,122,0.2189,0.8361,0.4386,0.9159,0.4,0.0
Extended BERT ABSA,99,5,in_domain,123,0.2189,0.9187,0.6933,0.955,0.625,0.5
Extended BERT ABSA,99,5,laptop,2313,0.2189,0.6805,0.5433,0.7844,0.7155,0.13
Extended BERT ABSA,99,5,restaurant,3602,0.2189,0.6985,0.497,0.8215,0.5789,0.0904
RoBERTa ABSA,99,1,val,122,1.0949,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,99,1,in_domain,123,1.0949,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,99,1,laptop,2313,1.0949,0.4267,0.1994,0.5982,0.0,0.0
RoBERTa ABSA,99,1,restaurant,3602,1.0949,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,99,2,val,122,0.973,0.8852,0.4252,0.9422,0.3333,0.0
RoBERTa ABSA,99,2,in_domain,123,0.973,0.8943,0.4571,0.9427,0.4286,0.0
RoBERTa ABSA,99,2,laptop,2313,0.973,0.6377,0.491,0.7126,0.6908,0.0695
RoBERTa ABSA,99,2,restaurant,3602,0.973,0.641,0.3645,0.7752,0.303,0.0152
RoBERTa ABSA,99,3,val,122,0.6371,0.8443,0.4282,0.9209,0.3636,0.0
RoBERTa ABSA,99,3,in_domain,123,0.6371,0.9106,0.6342,0.9502,0.6667,0.2857
RoBERTa ABSA,99,3,laptop,2313,0.6371,0.7354,0.6355,0.8174,0.7796,0.3097
RoBERTa ABSA,99,3,restaurant,3602,0.6371,0.719,0.5385,0.8306,0.6293,0.1556
RoBERTa ABSA,99,4,val,122,0.4876,0.8115,0.4113,0.9005,0.3333,0.0
RoBERTa ABSA,99,4,in_domain,123,0.4876,0.8943,0.5193,0.9493,0.6087,0.0
RoBERTa ABSA,99,4,laptop,2313,0.4876,0.7454,0.6602,0.8267,0.7903,0.3636
RoBERTa ABSA,99,4,restaurant,3602,0.4876,0.7393,0.6039,0.8463,0.6893,0.276
RoBERTa ABSA,99,5,val,122,0.5116,0.877,0.4091,0.9417,0.2857,0.0
RoBERTa ABSA,99,5,in_domain,123,0.5116,0.9024,0.6066,0.9459,0.5882,0.2857
RoBERTa ABSA,99,5,laptop,2313,0.5116,0.7298,0.6446,0.8046,0.7738,0.3553
RoBERTa ABSA,99,5,restaurant,3602,0.5116,0.7179,0.5466,0.8311,0.6085,0.2002
Standard BERT ABSA,100,1,val,122,1.098,0.8279,0.3422,0.9091,0.1176,0.0
Standard BERT ABSA,100,1,in_domain,123,1.098,0.8943,0.4571,0.9427,0.4286,0.0
Standard BERT ABSA,100,1,laptop,2313,1.098,0.5331,0.3852,0.642,0.5135,0.0
Standard BERT ABSA,100,1,restaurant,3602,1.098,0.5841,0.3569,0.7361,0.3346,0.0
Standard BERT ABSA,100,2,val,122,0.8955,0.8443,0.3494,0.9231,0.125,0.0
Standard BERT ABSA,100,2,in_domain,123,0.8955,0.9187,0.5408,0.9558,0.6667,0.0
Standard BERT ABSA,100,2,laptop,2313,0.8955,0.6044,0.4484,0.7053,0.627,0.0129
Standard BERT ABSA,100,2,restaurant,3602,0.8955,0.6222,0.3734,0.7696,0.3266,0.0241
Standard BERT ABSA,100,3,val,122,0.6425,0.7459,0.4256,0.8557,0.4211,0.0
Standard BERT ABSA,100,3,in_domain,123,0.6425,0.8374,0.6118,0.902,0.6667,0.2667
Standard BERT ABSA,100,3,laptop,2313,0.6425,0.5728,0.439,0.6311,0.6367,0.0492
Standard BERT ABSA,100,3,restaurant,3602,0.6425,0.5852,0.4397,0.7331,0.5037,0.0825
Standard BERT ABSA,100,4,val,122,0.3563,0.8525,0.449,0.9259,0.4211,0.0
Standard BERT ABSA,100,4,in_domain,123,0.3563,0.8862,0.6496,0.9352,0.7059,0.3077
Standard BERT ABSA,100,4,laptop,2313,0.3563,0.6623,0.5207,0.7674,0.7055,0.0891
Standard BERT ABSA,100,4,restaurant,3602,0.3563,0.6455,0.4724,0.7909,0.5157,0.1107
Standard BERT ABSA,100,5,val,122,0.2782,0.8607,0.4767,0.9302,0.5,0.0
Standard BERT ABSA,100,5,in_domain,123,0.2782,0.8943,0.6598,0.9401,0.7059,0.3333
Standard BERT ABSA,100,5,laptop,2313,0.2782,0.6654,0.5182,0.7722,0.7068,0.0757
Standard BERT ABSA,100,5,restaurant,3602,0.2782,0.6538,0.4745,0.7975,0.5336,0.0925
Extended BERT ABSA,100,1,val,122,1.0924,0.7623,0.3458,0.8708,0.1667,0.0
Extended BERT ABSA,100,1,in_domain,123,1.0924,0.8618,0.5752,0.9217,0.4706,0.3333
Extended BERT ABSA,100,1,laptop,2313,1.0924,0.4924,0.3354,0.6237,0.3825,0.0
Extended BERT ABSA,100,1,restaurant,3602,1.0924,0.611,0.3122,0.7573,0.1793,0.0
Extended BERT ABSA,100,2,val,122,0.8754,0.5984,0.3684,0.7444,0.2941,0.0667
Extended BERT ABSA,100,2,in_domain,123,0.8754,0.6504,0.4876,0.7676,0.5,0.1951
Extended BERT ABSA,100,2,laptop,2313,0.8754,0.5845,0.4347,0.6727,0.6271,0.0043
Extended BERT ABSA,100,2,restaurant,3602,0.8754,0.6474,0.4097,0.7855,0.4435,0.0
Extended BERT ABSA,100,3,val,122,0.7194,0.7131,0.3878,0.8377,0.3256,0.0
Extended BERT ABSA,100,3,in_domain,123,0.7194,0.8455,0.6435,0.9109,0.6667,0.3529
Extended BERT ABSA,100,3,laptop,2313,0.7194,0.575,0.4262,0.6429,0.6357,0.0
Extended BERT ABSA,100,3,restaurant,3602,0.7194,0.6532,0.451,0.7924,0.5607,0.0
Extended BERT ABSA,100,4,val,122,0.4441,0.8361,0.4565,0.9151,0.4545,0.0
Extended BERT ABSA,100,4,in_domain,123,0.4441,0.8699,0.5561,0.9309,0.5556,0.1818
Extended BERT ABSA,100,4,laptop,2313,0.4441,0.6623,0.5047,0.7578,0.7054,0.0507
Extended BERT ABSA,100,4,restaurant,3602,0.4441,0.688,0.4673,0.8174,0.5515,0.0329
Extended BERT ABSA,100,5,val,122,0.3785,0.8361,0.4565,0.9151,0.4545,0.0
Extended BERT ABSA,100,5,in_domain,123,0.3785,0.878,0.5134,0.9401,0.6,0.0
Extended BERT ABSA,100,5,laptop,2313,0.3785,0.6623,0.5044,0.7628,0.7038,0.0465
Extended BERT ABSA,100,5,restaurant,3602,0.3785,0.6924,0.4748,0.8218,0.5719,0.0305
RoBERTa ABSA,100,1,val,122,1.106,0.877,0.4222,0.9333,0.3333,0.0
RoBERTa ABSA,100,1,in_domain,123,1.106,0.8455,0.379,0.9148,0.2222,0.0
RoBERTa ABSA,100,1,laptop,2313,1.106,0.4419,0.2337,0.605,0.0962,0.0
RoBERTa ABSA,100,1,restaurant,3602,1.106,0.6049,0.2662,0.753,0.0456,0.0
RoBERTa ABSA,100,2,val,122,1.0769,0.7869,0.4132,0.8867,0.3529,0.0
RoBERTa ABSA,100,2,in_domain,123,1.0769,0.8049,0.4509,0.8911,0.4615,0.0
RoBERTa ABSA,100,2,laptop,2313,1.0769,0.6917,0.5132,0.7743,0.761,0.0043
RoBERTa ABSA,100,2,restaurant,3602,1.0769,0.7057,0.4834,0.8194,0.6307,0.0
RoBERTa ABSA,100,3,val,122,0.8113,0.8607,0.4216,0.9315,0.3333,0.0
RoBERTa ABSA,100,3,in_domain,123,0.8113,0.9024,0.5167,0.9502,0.6,0.0
RoBERTa ABSA,100,3,laptop,2313,0.8113,0.6909,0.5182,0.7551,0.7822,0.0172
RoBERTa ABSA,100,3,restaurant,3602,0.8113,0.7096,0.4817,0.8194,0.6258,0.0
RoBERTa ABSA,100,4,val,122,0.5036,0.8689,0.4298,0.9364,0.3529,0.0
RoBERTa ABSA,100,4,in_domain,123,0.5036,0.9106,0.5288,0.955,0.6316,0.0
RoBERTa ABSA,100,4,laptop,2313,0.5036,0.7043,0.5627,0.7682,0.7878,0.132
RoBERTa ABSA,100,4,restaurant,3602,0.5036,0.7107,0.4948,0.8197,0.6192,0.0454
RoBERTa ABSA,100,5,val,122,0.6439,0.8361,0.4265,0.9159,0.3636,0.0
RoBERTa ABSA,100,5,in_domain,123,0.6439,0.9024,0.5209,0.9541,0.6087,0.0
RoBERTa ABSA,100,5,laptop,2313,0.6439,0.7363,0.6109,0.8088,0.805,0.219
RoBERTa ABSA,100,5,restaurant,3602,0.6439,0.7349,0.5196,0.8461,0.6883,0.0244
Standard BERT ABSA,314,1,val,122,1.085,0.459,0.2731,0.6164,0.2029,0.0
Standard BERT ABSA,314,1,in_domain,123,1.085,0.6098,0.3997,0.7345,0.3396,0.125
Standard BERT ABSA,314,1,laptop,2313,1.085,0.4107,0.3036,0.4159,0.4905,0.0043
Standard BERT ABSA,314,1,restaurant,3602,1.085,0.4478,0.3208,0.5617,0.4008,0.0
Standard BERT ABSA,314,2,val,122,0.8262,0.8443,0.4568,0.9159,0.4545,0.0
Standard BERT ABSA,314,2,in_domain,123,0.8262,0.9187,0.5639,0.955,0.7368,0.0
Standard BERT ABSA,314,2,laptop,2313,0.8262,0.5128,0.3596,0.633,0.4459,0.0
Standard BERT ABSA,314,2,restaurant,3602,0.8262,0.6471,0.3881,0.7786,0.3858,0.0
Standard BERT ABSA,314,3,val,122,0.6166,0.8033,0.442,0.8976,0.4286,0.0
Standard BERT ABSA,314,3,in_domain,123,0.6166,0.878,0.6607,0.9327,0.7826,0.2667
Standard BERT ABSA,314,3,laptop,2313,0.6166,0.6057,0.4715,0.7024,0.6403,0.0717
Standard BERT ABSA,314,3,restaurant,3602,0.6166,0.6774,0.4561,0.8058,0.5379,0.0244
Standard BERT ABSA,314,4,val,122,0.3664,0.8115,0.4528,0.9038,0.4545,0.0
Standard BERT ABSA,314,4,in_domain,123,0.3664,0.8618,0.6401,0.9231,0.7619,0.2353
Standard BERT ABSA,314,4,laptop,2313,0.3664,0.62,0.547,0.7471,0.6227,0.2714
Standard BERT ABSA,314,4,restaurant,3602,0.3664,0.6807,0.4831,0.8134,0.5198,0.116
Standard BERT ABSA,314,5,val,122,0.2683,0.8197,0.4352,0.9057,0.4,0.0
Standard BERT ABSA,314,5,in_domain,123,0.2683,0.8943,0.621,0.9444,0.7368,0.1818
Standard BERT ABSA,314,5,laptop,2313,0.2683,0.6239,0.5442,0.7474,0.6308,0.2543
Standard BERT ABSA,314,5,restaurant,3602,0.2683,0.6777,0.4699,0.8104,0.512,0.0874
Extended BERT ABSA,314,1,val,122,1.0719,0.6311,0.3413,0.7692,0.2545,0.0
Extended BERT ABSA,314,1,in_domain,123,1.0719,0.8618,0.5015,0.9238,0.5806,0.0
Extended BERT ABSA,314,1,laptop,2313,1.0719,0.457,0.3176,0.3868,0.5659,0.0
Extended BERT ABSA,314,1,restaurant,3602,1.0719,0.5541,0.3423,0.7094,0.3175,0.0
Extended BERT ABSA,314,2,val,122,0.8722,0.6311,0.3525,0.7667,0.2909,0.0
Extended BERT ABSA,314,2,in_domain,123,0.8722,0.8374,0.639,0.901,0.5714,0.4444
Extended BERT ABSA,314,2,laptop,2313,0.8722,0.4626,0.3166,0.3735,0.5764,0.0
Extended BERT ABSA,314,2,restaurant,3602,0.8722,0.5702,0.3958,0.7211,0.4478,0.0184
Extended BERT ABSA,314,3,val,122,0.5944,0.7377,0.4166,0.8497,0.4,0.0
Extended BERT ABSA,314,3,in_domain,123,0.5944,0.8862,0.6722,0.9333,0.75,0.3333
Extended BERT ABSA,314,3,laptop,2313,0.5944,0.5482,0.4034,0.5833,0.6226,0.0043
Extended BERT ABSA,314,3,restaurant,3602,0.5944,0.6474,0.4405,0.7886,0.5147,0.0184
Extended BERT ABSA,314,4,val,122,0.4722,0.7951,0.4353,0.8922,0.4138,0.0
Extended BERT ABSA,314,4,in_domain,123,0.4722,0.8862,0.6732,0.934,0.8,0.2857
Extended BERT ABSA,314,4,laptop,2313,0.4722,0.6273,0.4713,0.7305,0.6706,0.0128
Extended BERT ABSA,314,4,restaurant,3602,0.4722,0.6671,0.447,0.8028,0.4976,0.0406
Extended BERT ABSA,314,5,val,122,0.314,0.8443,0.4597,0.9245,0.4545,0.0
Extended BERT ABSA,314,5,in_domain,123,0.314,0.9106,0.6852,0.9498,0.7059,0.4
Extended BERT ABSA,314,5,laptop,2313,0.314,0.6472,0.4846,0.7536,0.6872,0.0129
Extended BERT ABSA,314,5,restaurant,3602,0.314,0.6663,0.4346,0.7983,0.4754,0.0301
RoBERTa ABSA,314,1,val,122,1.1171,0.877,0.3115,0.9345,0.0,0.0
