model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Extended BERT ABSA,7,2,val,122,0.9752,0.6885,0.3592,0.8168,0.2609,0.0
Extended BERT ABSA,7,2,in_domain,123,0.9752,0.8537,0.4781,0.9159,0.5185,0.0
Extended BERT ABSA,7,2,laptop,2313,0.9752,0.5339,0.3917,0.5539,0.6168,0.0043
Extended BERT ABSA,7,2,restaurant,3602,0.9752,0.6327,0.4321,0.7624,0.531,0.003
Extended BERT ABSA,7,3,val,122,0.7193,0.7869,0.439,0.8844,0.4324,0.0
Extended BERT ABSA,7,3,in_domain,123,0.7193,0.9024,0.6565,0.9439,0.6923,0.3333
Extended BERT ABSA,7,3,laptop,2313,0.7193,0.6061,0.4529,0.6883,0.6617,0.0086
Extended BERT ABSA,7,3,restaurant,3602,0.7193,0.6891,0.4727,0.8121,0.6028,0.0031
Extended BERT ABSA,7,4,val,122,0.4456,0.8443,0.434,0.9209,0.381,0.0
Extended BERT ABSA,7,4,in_domain,123,0.4456,0.8699,0.4634,0.9358,0.4545,0.0
Extended BERT ABSA,7,4,laptop,2313,0.4456,0.6956,0.595,0.7822,0.7397,0.2632
Extended BERT ABSA,7,4,restaurant,3602,0.4456,0.6949,0.5153,0.8131,0.6026,0.1303
Extended BERT ABSA,7,5,val,122,0.252,0.8443,0.4169,0.9174,0.3333,0.0
Extended BERT ABSA,7,5,in_domain,123,0.252,0.9106,0.6954,0.9493,0.7368,0.4
Extended BERT ABSA,7,5,laptop,2313,0.252,0.6987,0.6123,0.7829,0.742,0.3121
Extended BERT ABSA,7,5,restaurant,3602,0.252,0.6971,0.5217,0.8168,0.597,0.1514
Extended BERT ABSA,7,6,val,122,0.1084,0.8525,0.4476,0.9217,0.4211,0.0
Extended BERT ABSA,7,6,in_domain,123,0.1084,0.9024,0.6816,0.9444,0.7368,0.3636
Extended BERT ABSA,7,6,laptop,2313,0.1084,0.7099,0.6249,0.7895,0.7575,0.3278
Extended BERT ABSA,7,6,restaurant,3602,0.1084,0.7041,0.5327,0.822,0.6124,0.1638
Extended BERT ABSA,7,7,val,122,0.0361,0.8361,0.4372,0.9116,0.4,0.0
Extended BERT ABSA,7,7,in_domain,123,0.0361,0.9024,0.6816,0.9444,0.7368,0.3636
Extended BERT ABSA,7,7,laptop,2313,0.0361,0.7026,0.629,0.7823,0.7514,0.3533
Extended BERT ABSA,7,7,restaurant,3602,0.0361,0.7027,0.5601,0.8235,0.6117,0.2452
Extended BERT ABSA,7,8,val,122,0.0117,0.8689,0.444,0.9321,0.4,0.0
Extended BERT ABSA,7,8,in_domain,123,0.0117,0.9106,0.6613,0.9507,0.5333,0.5
Extended BERT ABSA,7,8,laptop,2313,0.0117,0.7021,0.6334,0.7903,0.7394,0.3704
Extended BERT ABSA,7,8,restaurant,3602,0.0117,0.7018,0.5457,0.8233,0.5813,0.2325
Extended BERT ABSA,7,9,val,122,0.0067,0.8607,0.4119,0.9279,0.3077,0.0
Extended BERT ABSA,7,9,in_domain,123,0.0067,0.9187,0.6756,0.9554,0.5714,0.5
Extended BERT ABSA,7,9,laptop,2313,0.0067,0.7,0.6336,0.7904,0.7336,0.3768
Extended BERT ABSA,7,9,restaurant,3602,0.0067,0.6993,0.5437,0.8221,0.5663,0.2427
Extended BERT ABSA,7,10,val,122,0.0117,0.8689,0.422,0.9327,0.3333,0.0
Extended BERT ABSA,7,10,in_domain,123,0.0117,0.9106,0.6555,0.9507,0.5714,0.4444
Extended BERT ABSA,7,10,laptop,2313,0.0117,0.6978,0.6351,0.7912,0.7299,0.3841
Extended BERT ABSA,7,10,restaurant,3602,0.0117,0.6985,0.5467,0.822,0.5565,0.2617
RoBERTa ABSA,7,1,val,122,1.1218,0.877,0.3115,0.9345,0.0,0.0
RoBERTa ABSA,7,1,in_domain,123,1.1218,0.878,0.3117,0.9351,0.0,0.0
RoBERTa ABSA,7,1,laptop,2313,1.1218,0.4267,0.1994,0.5982,0.0,0.0
RoBERTa ABSA,7,1,restaurant,3602,1.1218,0.6008,0.2502,0.7506,0.0,0.0
RoBERTa ABSA,7,2,val,122,0.9835,0.7377,0.3928,0.8601,0.3182,0.0
RoBERTa ABSA,7,2,in_domain,123,0.9835,0.7886,0.4441,0.8878,0.4444,0.0
RoBERTa ABSA,7,2,laptop,2313,0.9835,0.7203,0.5472,0.8034,0.7922,0.046
RoBERTa ABSA,7,2,restaurant,3602,0.9835,0.7379,0.5269,0.8527,0.7003,0.0276
RoBERTa ABSA,7,3,val,122,0.6721,0.8279,0.4091,0.9116,0.3158,0.0
RoBERTa ABSA,7,3,in_domain,123,0.6721,0.9024,0.5273,0.9502,0.6316,0.0
RoBERTa ABSA,7,3,laptop,2313,0.6721,0.7142,0.658,0.8034,0.7419,0.4287
RoBERTa ABSA,7,3,restaurant,3602,0.6721,0.7185,0.5852,0.836,0.5989,0.3205
RoBERTa ABSA,7,4,val,122,0.6723,0.8525,0.4356,0.9259,0.381,0.0
RoBERTa ABSA,7,4,in_domain,123,0.6723,0.9187,0.5434,0.9636,0.6667,0.0
RoBERTa ABSA,7,4,laptop,2313,0.6723,0.7121,0.573,0.778,0.7909,0.15
RoBERTa ABSA,7,4,restaurant,3602,0.6723,0.721,0.5085,0.8295,0.6536,0.0422
RoBERTa ABSA,7,5,val,122,0.3906,0.8852,0.4486,0.9459,0.4,0.0
RoBERTa ABSA,7,5,in_domain,123,0.3906,0.8943,0.4752,0.955,0.4706,0.0
RoBERTa ABSA,7,5,laptop,2313,0.3906,0.7268,0.6645,0.8077,0.7591,0.4266
RoBERTa ABSA,7,5,restaurant,3602,0.3906,0.7318,0.5996,0.8431,0.6112,0.3445
RoBERTa ABSA,7,6,val,122,0.1862,0.8689,0.3667,0.9333,0.1667,0.0
RoBERTa ABSA,7,6,in_domain,123,0.1862,0.8862,0.4419,0.9507,0.375,0.0
RoBERTa ABSA,7,6,laptop,2313,0.1862,0.7263,0.656,0.8021,0.7638,0.4022
RoBERTa ABSA,7,6,restaurant,3602,0.1862,0.7335,0.5927,0.8429,0.6154,0.3199
RoBERTa ABSA,7,7,val,122,0.1182,0.8525,0.442,0.9259,0.4,0.0
RoBERTa ABSA,7,7,in_domain,123,0.1182,0.9106,0.5318,0.9589,0.6364,0.0
RoBERTa ABSA,7,7,laptop,2313,0.1182,0.7605,0.7028,0.8326,0.7961,0.4798
RoBERTa ABSA,7,7,restaurant,3602,0.1182,0.7551,0.6457,0.8617,0.6727,0.4027
RoBERTa ABSA,7,8,val,122,0.1046,0.8689,0.5059,0.9358,0.4,0.1818
RoBERTa ABSA,7,8,in_domain,123,0.1046,0.878,0.4735,0.9498,0.4706,0.0
RoBERTa ABSA,7,8,laptop,2313,0.1046,0.7276,0.6811,0.8236,0.7357,0.4841
RoBERTa ABSA,7,8,restaurant,3602,0.1046,0.7407,0.6282,0.8539,0.6205,0.4103
RoBERTa ABSA,7,9,val,122,0.0334,0.8607,0.4438,0.9315,0.4,0.0
RoBERTa ABSA,7,9,in_domain,123,0.0334,0.9024,0.5302,0.9589,0.6316,0.0
RoBERTa ABSA,7,9,laptop,2313,0.0334,0.7384,0.6887,0.8223,0.7623,0.4814
RoBERTa ABSA,7,9,restaurant,3602,0.0334,0.7451,0.6302,0.8558,0.6382,0.3966
RoBERTa ABSA,7,10,val,122,0.0041,0.8607,0.4438,0.9315,0.4,0.0
RoBERTa ABSA,7,10,in_domain,123,0.0041,0.8943,0.5286,0.9541,0.6316,0.0
RoBERTa ABSA,7,10,laptop,2313,0.0041,0.7406,0.693,0.8246,0.7619,0.4926
RoBERTa ABSA,7,10,restaurant,3602,0.0041,0.7429,0.6294,0.8545,0.6338,0.4
Extended BERT ABSA,2024,1,val,122,1.1102,0.5492,0.3122,0.6941,0.2424,0.0
Extended BERT ABSA,2024,1,in_domain,123,1.1102,0.7805,0.44,0.87,0.45,0.0
Extended BERT ABSA,2024,1,laptop,2313,1.1102,0.4163,0.2556,0.208,0.5588,0.0
Extended BERT ABSA,2024,1,restaurant,3602,1.1102,0.2815,0.1994,0.2477,0.3505,0.0
Extended BERT ABSA,2024,2,val,122,0.9328,0.7213,0.3915,0.841,0.3333,0.0
Extended BERT ABSA,2024,2,in_domain,123,0.9328,0.8537,0.5685,0.9151,0.6087,0.1818
Extended BERT ABSA,2024,2,laptop,2313,0.9328,0.5071,0.3689,0.5166,0.5902,0.0
Extended BERT ABSA,2024,2,restaurant,3602,0.9328,0.4256,0.3054,0.5548,0.3584,0.0032
Extended BERT ABSA,2024,3,val,122,0.6875,0.6803,0.3704,0.8083,0.303,0.0
Extended BERT ABSA,2024,3,in_domain,123,0.6875,0.7805,0.539,0.8731,0.5333,0.2105
Extended BERT ABSA,2024,3,laptop,2313,0.6875,0.5914,0.4447,0.6659,0.6513,0.0168
Extended BERT ABSA,2024,3,restaurant,3602,0.6875,0.5347,0.3839,0.69,0.4295,0.0324
Extended BERT ABSA,2024,4,val,122,0.4564,0.8443,0.4655,0.9202,0.4762,0.0
Extended BERT ABSA,2024,4,in_domain,123,0.4564,0.8537,0.5981,0.9151,0.5714,0.3077
Extended BERT ABSA,2024,4,laptop,2313,0.4564,0.6472,0.4939,0.7514,0.689,0.0412
Extended BERT ABSA,2024,4,restaurant,3602,0.4564,0.6108,0.4235,0.7618,0.4732,0.0356
Extended BERT ABSA,2024,5,val,122,0.2167,0.8607,0.4369,0.9358,0.375,0.0
Extended BERT ABSA,2024,5,in_domain,123,0.2167,0.9106,0.6555,0.9507,0.5714,0.4444
Extended BERT ABSA,2024,5,laptop,2313,0.2167,0.671,0.521,0.779,0.7092,0.0747
Extended BERT ABSA,2024,5,restaurant,3602,0.2167,0.666,0.4726,0.8088,0.5157,0.0934
Extended BERT ABSA,2024,6,val,122,0.1373,0.8689,0.4076,0.9369,0.2857,0.0
Extended BERT ABSA,2024,6,in_domain,123,0.1373,0.9106,0.6555,0.9507,0.5714,0.4444
Extended BERT ABSA,2024,6,laptop,2313,0.1373,0.6818,0.5305,0.7866,0.7225,0.0825
Extended BERT ABSA,2024,6,restaurant,3602,0.1373,0.6793,0.4858,0.8193,0.539,0.099
Extended BERT ABSA,2024,7,val,122,0.0443,0.8689,0.4076,0.9369,0.2857,0.0
Extended BERT ABSA,2024,7,in_domain,123,0.0443,0.9024,0.6391,0.9459,0.5714,0.4
Extended BERT ABSA,2024,7,laptop,2313,0.0443,0.6805,0.5642,0.7891,0.7178,0.1857
Extended BERT ABSA,2024,7,restaurant,3602,0.0443,0.676,0.5136,0.8202,0.5106,0.2098
Extended BERT ABSA,2024,8,val,122,0.0559,0.8689,0.4076,0.9369,0.2857,0.0
Extended BERT ABSA,2024,8,in_domain,123,0.0559,0.9024,0.6391,0.9459,0.5714,0.4
Extended BERT ABSA,2024,8,laptop,2313,0.0559,0.6848,0.5699,0.7898,0.7235,0.1964
Extended BERT ABSA,2024,8,restaurant,3602,0.0559,0.6774,0.5212,0.8214,0.5101,0.2321
Extended BERT ABSA,2024,9,val,122,0.0118,0.8689,0.4076,0.9369,0.2857,0.0
